;UserID;JobTitle;DetailedOccupation;MinorGroup;MajorGroup;Combined_EmploymentItems;Num_EmploymentItems
500;14194;['certified nursing assistant', 'cashier'];['31-1131', '41-2011'];['31-10', '41-20'];['31', '41'];[('31-1131', '31-10', '31', 'certified nursing assistant'), ('41-2011', '41-20', '41', 'cashier')];2
501;14199;['electrician', 'commercial electrician', 'journeyman level electrician', 'electrician telecommunications technician great lakes naval hospital', 'electrician 2nd class petty officer', 'construction electrician telecommunications technician joint maritime facility st. mawgan england'];['47-2111', '47-2111', '47-2111', '49-9052', '47-2111', '49-9052'];['47-20', '47-20', '47-20', '49-90', '47-20', '49-90'];['47', '47', '47', '49', '47', '49'];[('47-2111', '47-20', '47', 'electrician'), ('47-2111', '47-20', '47', 'commercial electrician'), ('47-2111', '47-20', '47', 'journeyman level electrician'), ('49-9052', '49-90', '49', 'electrician telecommunications technician great lakes naval hospital'), ('47-2111', '47-20', '47', 'electrician 2nd class petty officer'), ('49-9052', '49-90', '49', 'construction electrician telecommunications technician joint maritime facility st. mawgan england')];6
502;14205;['office administrator', 'ups supply chain solution administrative assistant district controller', 'administrative office assistant', 'assistant executive secretary', 'corporate receptionist'];['43-1011', '43-6014', '43-6014', '43-6011', '43-4171'];['43-10', '43-60', '43-60', '43-60', '43-40'];['43', '43', '43', '43', '43'];[('43-1011', '43-10', '43', 'office administrator'), ('43-6014', '43-60', '43', 'ups supply chain solution administrative assistant district controller'), ('43-6014', '43-60', '43', 'administrative office assistant'), ('43-6011', '43-60', '43', 'assistant executive secretary'), ('43-4171', '43-40', '43', 'corporate receptionist')];5
503;14289;['social services assistant', 'caregiver', 'time receptionist', 'cashier customer service'];['21-1093', '31-1122', '43-4171', '41-2011'];['21-10', '31-10', '43-40', '41-20'];['21', '31', '43', '41'];[('21-1093', '21-10', '21', 'social services assistant'), ('31-1122', '31-10', '31', 'caregiver'), ('43-4171', '43-40', '43', 'time receptionist'), ('41-2011', '41-20', '41', 'cashier customer service')];4
505;14348;['supervisor medical records tech', 'supervisor medical support tech', 'medical services account officer business office supervisor', 'ncoic supervisor', 'medical services account officer business office supervisor'];['29-2072', '29-2072', '43-1011', '51-1011', '43-1011'];['29-20', '29-20', '43-10', '51-10', '43-10'];['29', '29', '43', '51', '43'];[('29-2072', '29-20', '29', 'supervisor medical records tech'), ('29-2072', '29-20', '29', 'supervisor medical support tech'), ('43-1011', '43-10', '43', 'medical services account officer business office supervisor'), ('51-1011', '51-10', '51', 'ncoic supervisor'), ('43-1011', '43-10', '43', 'medical services account officer business office supervisor')];5
506;14404;['maintenance mechanic', 'mechanic welder'];['49-9071', '49-9041'];['49-90', '49-90'];['49', '49'];[('49-9071', '49-90', '49', 'maintenance mechanic'), ('49-9041', '49-90', '49', 'mechanic welder')];2
507;14423;['laborer', 'forklift driver truck driver'];['47-2061', '53-7051'];['47-20', '53-70'];['47', '53'];[('47-2061', '47-20', '47', 'laborer'), ('53-7051', '53-70', '53', 'forklift driver truck driver')];2
508;14447;['server', 'marketing promotions internship'];['35-3031', '13-1161'];['35-30', '13-10'];['35', '13'];[('35-3031', '35-30', '35', 'server'), ('13-1161', '13-10', '13', 'marketing promotions internship')];2
509;14455;['shop foreman', 'painter'];['51-1011', '47-2141'];['51-10', '47-20'];['51', '47'];[('51-1011', '51-10', '51', 'shop foreman'), ('47-2141', '47-20', '47', 'painter')];2
510;14516;['executive director', 'sr manager', 'manager', 'director human resources', 'consultant', 'regional director human resources', 'manager', 'clerk circuit court'];['11-1011', '11-1021', '11-1021', '11-3121', '13-1111', '11-3121', '11-1021', '43-4031'];['11-10', '11-10', '11-10', '11-30', '13-10', '11-30', '11-10', '43-40'];['11', '11', '11', '11', '13', '11', '11', '43'];[('11-1011', '11-10', '11', 'executive director'), ('11-1021', '11-10', '11', 'sr manager'), ('11-1021', '11-10', '11', 'manager'), ('11-3121', '11-30', '11', 'director human resources'), ('13-1111', '13-10', '13', 'consultant'), ('11-3121', '11-30', '11', 'regional director human resources'), ('11-1021', '11-10', '11', 'manager'), ('43-4031', '43-40', '43', 'clerk circuit court')];8
511;14519;['office manager hr human resources management dsp dsm instructor', 'administrative assistant accounts payable accounts receivable', 'greenhouse nursery manager', 'administrative assistant ii responsible charge entry data entry exam coding'];['11-3121', '43-3031', '11-9013', '43-9061'];['11-30', '43-30', '11-90', '43-90'];['11', '43', '11', '43'];[('11-3121', '11-30', '11', 'office manager hr human resources management dsp dsm instructor'), ('43-3031', '43-30', '43', 'administrative assistant accounts payable accounts receivable'), ('11-9013', '11-90', '11', 'greenhouse nursery manager'), ('43-9061', '43-90', '43', 'administrative assistant ii responsible charge entry data entry exam coding')];4
512;14529;['rn step medical surgical neuro unit', 'receptionist', 'office manager'];['29-1141', '43-4171', '43-1011'];['29-10', '43-40', '43-10'];['29', '43', '43'];[('29-1141', '29-10', '29', 'rn step medical surgical neuro unit'), ('43-4171', '43-40', '43', 'receptionist'), ('43-1011', '43-10', '43', 'office manager')];3
513;14548;['sales associate', 'cashier'];['41-2031', '41-2011'];['41-20', '41-20'];['41', '41'];[('41-2031', '41-20', '41', 'sales associate'), ('41-2011', '41-20', '41', 'cashier')];2
515;14581;['production supervisor finish grind department', 'production supervisor shift supervisor'];['51-1011', '51-1011'];['51-10', '51-10'];['51', '51'];[('51-1011', '51-10', '51', 'production supervisor finish grind department'), ('51-1011', '51-10', '51', 'production supervisor shift supervisor')];2
516;14607;['order builder', 'associate', 'manager kerepi'];['53-7065', '41-2031', '11-1021'];['53-70', '41-20', '11-10'];['53', '41', '11'];[('53-7065', '53-70', '53', 'order builder'), ('41-2031', '41-20', '41', 'associate'), ('11-1021', '11-10', '11', 'manager kerepi')];3
517;14634;['field manager', 'scott gaes', 'equipment truck operator environmental'];['11-9021', '43-4051', '53-3032'];['11-90', '43-40', '53-30'];['11', '43', '53'];[('11-9021', '11-90', '11', 'field manager'), ('43-4051', '43-40', '43', 'scott gaes'), ('53-3032', '53-30', '53', 'equipment truck operator environmental')];3
518;14679;['lead helpdesk administrator', 'material handler'];['15-1232', '53-7062'];['15-12', '53-70'];['15', '53'];[('15-1232', '15-12', '15', 'lead helpdesk administrator'), ('53-7062', '53-70', '53', 'material handler')];2
520;14729;['general manager', 'finance manager finance'];['11-1021', '11-3031'];['11-10', '11-30'];['11', '11'];[('11-1021', '11-10', '11', 'general manager'), ('11-3031', '11-30', '11', 'finance manager finance')];2
521;14742;['site manager', 'shipping receiving clerk', 'customer service representative', 'lifeguard water safety instructor'];['11-9021', '43-5071', '43-4051', '33-9092'];['11-90', '43-50', '43-40', '33-90'];['11', '43', '43', '33'];[('11-9021', '11-90', '11', 'site manager'), ('43-5071', '43-50', '43', 'shipping receiving clerk'), ('43-4051', '43-40', '43', 'customer service representative'), ('33-9092', '33-90', '33', 'lifeguard water safety instructor')];4
522;14776;['dba continental expressjet', 'dba continental connection', 'emergency medical technician'];['15-1242', '15-1242', '29-2042'];['15-12', '15-12', '29-20'];['15', '15', '29'];[('15-1242', '15-12', '15', 'dba continental expressjet'), ('15-1242', '15-12', '15', 'dba continental connection'), ('29-2042', '29-20', '29', 'emergency medical technician')];3
523;14783;['receptionist', 'sunday school teacher'];['43-4171', '25-2021'];['43-40', '25-20'];['43', '25'];[('43-4171', '43-40', '43', 'receptionist'), ('25-2021', '25-20', '25', 'sunday school teacher')];2
524;14787;['general manager', 'group fleet logistics manager', 'regional remarketing manager', 'area remarketing manager'];['11-1021', '11-3071', '11-2021', '11-2021'];['11-10', '11-30', '11-20', '11-20'];['11', '11', '11', '11'];[('11-1021', '11-10', '11', 'general manager'), ('11-3071', '11-30', '11', 'group fleet logistics manager'), ('11-2021', '11-20', '11', 'regional remarketing manager'), ('11-2021', '11-20', '11', 'area remarketing manager')];4
526;14855;['wedding coordinator', 'sales assistant'];['13-1121', '41-2031'];['13-10', '41-20'];['13', '41'];[('13-1121', '13-10', '13', 'wedding coordinator'), ('41-2031', '41-20', '41', 'sales assistant')];2
529;14937;['patient charges equipment materials coordinator cst', 'surgical technologist surgical supply coordinator case preparation', 'spine hardware orthobiologics representative', 'surgical technician'];['29-2055', '29-2055', '41-2031', '29-2055'];['29-20', '29-20', '41-20', '29-20'];['29', '29', '41', '29'];[('29-2055', '29-20', '29', 'patient charges equipment materials coordinator cst'), ('29-2055', '29-20', '29', 'surgical technologist surgical supply coordinator case preparation'), ('41-2031', '41-20', '41', 'spine hardware orthobiologics representative'), ('29-2055', '29-20', '29', 'surgical technician')];4
531;15134;['engineering manager', 'project engineer'];['11-9041', '17-2112'];['11-90', '17-20'];['11', '17'];[('11-9041', '11-90', '11', 'engineering manager'), ('17-2112', '17-20', '17', 'project engineer')];2
532;15137;['program financial manager', 'program financial manager'];['11-3031', '11-3031'];['11-30', '11-30'];['11', '11'];[('11-3031', '11-30', '11', 'program financial manager'), ('11-3031', '11-30', '11', 'program financial manager')];2
533;15144;['1st shift supervisor', '1st shift supervisor', 'foundry supervisor'];['51-1011', '51-1011', '51-1011'];['51-10', '51-10', '51-10'];['51', '51', '51'];[('51-1011', '51-10', '51', '1st shift supervisor'), ('51-1011', '51-10', '51', '1st shift supervisor'), ('51-1011', '51-10', '51', 'foundry supervisor')];3
534;15164;['district manager', 'regional business consultant', 'sales supervisor', 'operations manager'];['11-1021', '13-1199', '41-1011', '11-1021'];['11-10', '13-10', '41-10', '11-10'];['11', '13', '41', '11'];[('11-1021', '11-10', '11', 'district manager'), ('13-1199', '13-10', '13', 'regional business consultant'), ('41-1011', '41-10', '41', 'sales supervisor'), ('11-1021', '11-10', '11', 'operations manager')];4
535;15169;['legal secretary paralegal foreclosure coordinator', 'patient coordinator medical records time', 'assistant store manager'];['43-6012', '43-6013', '41-1011'];['43-60', '43-60', '41-10'];['43', '43', '41'];[('43-6012', '43-60', '43', 'legal secretary paralegal foreclosure coordinator'), ('43-6013', '43-60', '43', 'patient coordinator medical records time'), ('41-1011', '41-10', '41', 'assistant store manager')];3
536;15177;['seventh eighth grade teacher', 'title physical education teacher', 'real estate administrative assistant'];['25-2022', '25-2021', '43-6014'];['25-20', '25-20', '43-60'];['25', '25', '43'];[('25-2022', '25-20', '25', 'seventh eighth grade teacher'), ('25-2021', '25-20', '25', 'title physical education teacher'), ('43-6014', '43-60', '43', 'real estate administrative assistant')];3
537;15198;['school bus driver', 'customer service associate', 'sorter', 'receiving associate'];['53-3051', '43-4051', '43-5053', '43-5071'];['53-30', '43-40', '43-50', '43-50'];['53', '43', '43', '43'];[('53-3051', '53-30', '53', 'school bus driver'), ('43-4051', '43-40', '43', 'customer service associate'), ('43-5053', '43-50', '43', 'sorter'), ('43-5071', '43-50', '43', 'receiving associate')];4
538;15209;['machine operator', 'lead machine supervisor operator'];['51-9111', '51-1011'];['51-90', '51-10'];['51', '51'];[('51-9111', '51-90', '51', 'machine operator'), ('51-1011', '51-10', '51', 'lead machine supervisor operator')];2
539;15253;['waitress', 'waitress', 'cook prep work customer service', 'home health care aid'];['35-3031', '35-3031', '43-4051', '31-1121'];['35-30', '35-30', '43-40', '31-10'];['35', '35', '43', '31'];[('35-3031', '35-30', '35', 'waitress'), ('35-3031', '35-30', '35', 'waitress'), ('43-4051', '43-40', '43', 'cook prep work customer service'), ('31-1121', '31-10', '31', 'home health care aid')];4
540;15256;['investor loss mitigation manager', 'general ledger reconcilement specialist ii', 'collections foreclosure unit leader', 'mortgage loan collector', 'accounting clerk'];['11-9199', '43-3031', '43-3011', '13-2072', '43-3031'];['11-90', '43-30', '43-30', '13-20', '43-30'];['11', '43', '43', '13', '43'];[('11-9199', '11-90', '11', 'investor loss mitigation manager'), ('43-3031', '43-30', '43', 'general ledger reconcilement specialist ii'), ('43-3011', '43-30', '43', 'collections foreclosure unit leader'), ('13-2072', '13-20', '13', 'mortgage loan collector'), ('43-3031', '43-30', '43', 'accounting clerk')];5
542;15272;['president ridgefield estates', 'president madison financial corporation', 'general manager'];['11-1011', '11-3031', '11-1021'];['11-10', '11-30', '11-10'];['11', '11', '11'];[('11-1011', '11-10', '11', 'president ridgefield estates'), ('11-3031', '11-30', '11', 'president madison financial corporation'), ('11-1021', '11-10', '11', 'general manager')];3
543;15296;['patient care technician extern', 'carl jr'];['29-2053', '25-2022'];['29-20', '25-20'];['29', '25'];[('29-2053', '29-20', '29', 'patient care technician extern'), ('25-2022', '25-20', '25', 'carl jr')];2
545;15329;['senior internal auditor', 'auditor', 'accountant', 'resident assistant', 'payable administrator'];['13-2011', '13-2011', '13-2011', '21-1093', '43-3031'];['13-20', '13-20', '13-20', '21-10', '43-30'];['13', '13', '13', '21', '43'];[('13-2011', '13-20', '13', 'senior internal auditor'), ('13-2011', '13-20', '13', 'auditor'), ('13-2011', '13-20', '13', 'accountant'), ('21-1093', '21-10', '21', 'resident assistant'), ('43-3031', '43-30', '43', 'payable administrator')];5
547;15430;['financial services representative', 'sales associate shoe department', 'sales associate', 'sales associate jewelry', 'teller'];['41-3031', '41-2031', '41-2031', '41-2031', '43-3071'];['41-30', '41-20', '41-20', '41-20', '43-30'];['41', '41', '41', '41', '43'];[('41-3031', '41-30', '41', 'financial services representative'), ('41-2031', '41-20', '41', 'sales associate shoe department'), ('41-2031', '41-20', '41', 'sales associate'), ('41-2031', '41-20', '41', 'sales associate jewelry'), ('43-3071', '43-30', '43', 'teller')];5
